	管線材質	ORDER_SEQ	品名	SIZE1	SIZE2	SCH1	SCH2	SIZE_LAYOUT	厚度	UNIT	IDENT_CODE	用料時機	採購量	可領用量	合計	合計2	項目	重組	設計需求	採購需求	缺料狀況	7月2日	7月9日	7月10日	7月11日	8月15日
108	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.5	 	S-160	 	"1/2"" S-160"	4.78	M	P64075	預製					D	P64075_D	0.0	0	0	0	0	0	0	0
109	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.5	 	S-160	 	"1/2"" S-160"	4.78	M	P64075	預製					E	P64075_E	0.0	0	0	0	0	0	0	0
110	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE(IMPACT TEST at -1 DEG. C)	8	 	S-140	 	"8"" S-140"	20.62	M	P44818	預製	48.0		41.9	41.9	-	P44818_-	0.0	0	0	0	0	0	0	0
111	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE(IMPACT TEST at -1 DEG. C)	8	 	S-140	 	"8"" S-140"	20.62	M	P44818	預製					A	P44818_A	0.0	0	0	0	0	0	0	0
112	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE(IMPACT TEST at -1 DEG. C)	8	 	S-140	 	"8"" S-140"	20.62	M	P44818	預製					B	P44818_B	39.0	48	-48	0	0	0	0	0
113	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE(IMPACT TEST at -1 DEG. C)	8	 	S-140	 	"8"" S-140"	20.62	M	P44818	預製					D	P44818_D	2.9	6	-6	0	0	0	0	0
114	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE(IMPACT TEST at -1 DEG. C)	8	 	S-140	 	"8"" S-140"	20.62	M	P44818	預製					E	P44818_E	0.0	0	0	0	0	0	0	0
115	碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1.5	 	S-80	 	"1-1/2"" S-80"	5.08	M	P24908	預製	624.0		304.8	304.8	-	P24908_-	0.0	0	0	0	0	0	0	0
116	碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1.5	 	S-80	 	"1-1/2"" S-80"	5.08	M	P24908	預製					A	P24908_A	301.6	336	0	336	0	0	0	0
117	碳鋼	102	PIPE SMLS PE CS A106-B  ASME   	1.5	 	S-80	 	"1-1/2"" S-80"	5.08	M	P24908	預製					B	P24908_B	0.3	0	0	0	0	0	0	0
