	管線材質	ORDER_SEQ	品名	SIZE1	SIZE2	SCH1	SCH2	SIZE_LAYOUT	厚度	UNIT	IDENT_CODE	中文說明	用料時機	採購量	可領用量	合計	合計2	項目	設計需求	採購需求	缺料狀況	7月2日	7月9日	7月10日	7月11日	8月15日	8月22日	8月24日	重組
49	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	6	 	S-40	 	"6"" S-40"	7.11	M	P211749	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P211749_E
50	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-120	 	"4"" S-120"	11.13	M	P100758	鋼管	預製	18.0		13.3	13.3	-	0.0	0	0	0	0	0	0	0	0	0	P100758_-
51	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-120	 	"4"" S-120"	11.13	M	P100758	鋼管	預製					A	0.0	0	0	0	0	0	0	0	0	0	P100758_A
52	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-120	 	"4"" S-120"	11.13	M	P100758	鋼管	預製					B	0.0	0	0	0	0	0	0	0	0	0	P100758_B
53	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-120	 	"4"" S-120"	11.13	M	P100758	鋼管	預製					D	13.3	18	-18	0	0	0	0	0	0	0	P100758_D
54	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-120	 	"4"" S-120"	11.13	M	P100758	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P100758_E
55	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-160	 	"4"" S-160"	13.49	M	P46905	鋼管	預製	6.0		0.2	0.2	-	0.0	0	0	0	0	0	0	0	0	0	P46905_-
56	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-160	 	"4"" S-160"	13.49	M	P46905	鋼管	預製					A	0.0	0	0	0	0	0	0	0	0	0	P46905_A
57	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-160	 	"4"" S-160"	13.49	M	P46905	鋼管	預製					B	0.2	6	-6	0	0	0	0	0	0	0	P46905_B
58	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-160	 	"4"" S-160"	13.49	M	P46905	鋼管	預製					D	0.0	0	0	0	0	0	0	0	0	0	P46905_D
