管線材質,ORDER_SEQ,0,SIZE1,SIZE2,SCH1,SCH2,SIZE_LAYOUT,厚度,UNIT,IDENT_CODE,用料時機,採購量,可領用量,合計,合計2,項目,設計需求,採購需求,缺料狀況,7月2日,7月9日,7月10日,7月11日,8月15日
,,,,,,,,,,,,,,,,B,7.9,12,-12,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.5, ,S-160, ,"1/2"" S-160",4.78,M,P64075,預製,294,,0.4,0.4,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0.4,6,-6,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE(IMPACT TEST at -1 DEG. C),8, ,S-140, ,"8"" S-140",20.62,M,P44818,預製,48,,41.9,41.9,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,39,48,-48,0,0,0,0,0
,,,,,,,,,,,,,,,,D,2.9,6,-6,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1.5, ,S-80, ,"1-1/2"" S-80",5.08,M,P24908,預製,624,,304.8,304.8,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,301.6,336,0,336,0,0,0,0
,,,,,,,,,,,,,,,,B,0.3,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,2.9,6,-6,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1, ,S-160, ,"1"" S-160",6.35,M,P24900,預製,6,,4.6,4.6,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,4.6,6,-6,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1, ,S-80, ,"1"" S-80",4.55,M,P24910,預製,1818,,840.1,829.5,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,547.6,606,0,606,0,0,0,0
