管線材質,ORDER_SEQ,Short_desc,SIZE1,SIZE2,SCH1,SCH2,SIZE_LAYOUT,厚度,UNIT,IDENT_CODE,中文說明,用料時機,採購量,可領用量,合計,合計2,項目,設計需求,採購需求,缺料狀況,7月2日,7月9日,7月10日,7月11日,8月15日,8月22日,8月24日,重組
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,4, ,S-120, ,"4"" S-120",11.13,M,P100758,鋼管,預製,18,,13.3,13.3,-,0,0,0,0,0,0,0,0,0,0,P100758_-
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,4, ,S-120, ,"4"" S-120",11.13,M,P100758,鋼管,預製,,,,,A,0,0,0,0,0,0,0,0,0,0,P100758_A
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,4, ,S-120, ,"4"" S-120",11.13,M,P100758,鋼管,預製,,,,,B,0,0,0,0,0,0,0,0,0,0,P100758_B
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,4, ,S-120, ,"4"" S-120",11.13,M,P100758,鋼管,預製,,,,,D,13.3,18,-18,0,0,0,0,0,0,0,P100758_D
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,4, ,S-120, ,"4"" S-120",11.13,M,P100758,鋼管,預製,,,,,E,0,0,0,0,0,0,0,0,0,0,P100758_E
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,4, ,S-160, ,"4"" S-160",13.49,M,P46905,鋼管,預製,6,,0.2,0.2,-,0,0,0,0,0,0,0,0,0,0,P46905_-
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,4, ,S-160, ,"4"" S-160",13.49,M,P46905,鋼管,預製,,,,,A,0,0,0,0,0,0,0,0,0,0,P46905_A
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,4, ,S-160, ,"4"" S-160",13.49,M,P46905,鋼管,預製,,,,,B,0.2,6,-6,0,0,0,0,0,0,0,P46905_B
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,4, ,S-160, ,"4"" S-160",13.49,M,P46905,鋼管,預製,,,,,D,0,0,0,0,0,0,0,0,0,0,P46905_D
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,4, ,S-160, ,"4"" S-160",13.49,M,P46905,鋼管,預製,,,,,E,0,0,0,0,0,0,0,0,0,0,P46905_E
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,4, ,S-40, ,"4"" S-40",6.02,M,P211707,鋼管,預製,210,,35.6,35.6,-,0,0,0,0,0,0,0,0,0,0,P211707_-
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,4, ,S-40, ,"4"" S-40",6.02,M,P211707,鋼管,預製,,,,,A,0,0,0,0,0,0,0,0,0,0,P211707_A
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,4, ,S-40, ,"4"" S-40",6.02,M,P211707,鋼管,預製,,,,,B,35.6,42,-42,0,0,0,0,0,0,0,P211707_B
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,4, ,S-40, ,"4"" S-40",6.02,M,P211707,鋼管,預製,,,,,D,0,0,0,0,0,0,0,0,0,0,P211707_D
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,4, ,S-40, ,"4"" S-40",6.02,M,P211707,鋼管,預製,,,,,E,0,0,0,0,0,0,0,0,0,0,P211707_E
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,3, ,S-160, ,"3"" S-160",11.13,M,P46863,鋼管,預製,6,,0.8,0.8,-,0,0,0,0,0,0,0,0,0,0,P46863_-
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,3, ,S-160, ,"3"" S-160",11.13,M,P46863,鋼管,預製,,,,,A,0,0,0,0,0,0,0,0,0,0,P46863_A
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,3, ,S-160, ,"3"" S-160",11.13,M,P46863,鋼管,預製,,,,,B,0.8,6,-6,0,0,0,0,0,0,0,P46863_B
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,3, ,S-160, ,"3"" S-160",11.13,M,P46863,鋼管,預製,,,,,D,0,0,0,0,0,0,0,0,0,0,P46863_D
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,3, ,S-160, ,"3"" S-160",11.13,M,P46863,鋼管,預製,,,,,E,0,0,0,0,0,0,0,0,0,0,P46863_E
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,3, ,S-40, ,"3"" S-40",5.49,M,P211677,鋼管,預製,114,,32.6,32.6,-,0,0,0,0,0,0,0,0,0,36,P211677_-
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,3, ,S-40, ,"3"" S-40",5.49,M,P211677,鋼管,預製,,,,,A,0,0,0,0,0,0,0,0,0,0,P211677_A
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,3, ,S-40, ,"3"" S-40",5.49,M,P211677,鋼管,預製,,,,,B,32.6,36,0,0,0,0,0,0,0,0,P211677_B
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,3, ,S-40, ,"3"" S-40",5.49,M,P211677,鋼管,預製,,,,,D,0,0,0,0,0,0,0,0,0,0,P211677_D
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,3, ,S-40, ,"3"" S-40",5.49,M,P211677,鋼管,預製,,,,,E,0,0,0,0,0,0,0,0,0,0,P211677_E
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,2, ,S-160, ,"2"" S-160",8.74,M,P98370,鋼管,預製,174,,80.2,80.2,-,0,0,0,0,0,0,0,0,0,0,P98370_-
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,2, ,S-160, ,"2"" S-160",8.74,M,P98370,鋼管,預製,,,,,A,0,0,0,0,0,0,0,0,0,0,P98370_A
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,2, ,S-160, ,"2"" S-160",8.74,M,P98370,鋼管,預製,,,,,B,80.2,90,-90,0,0,0,0,0,0,0,P98370_B
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,2, ,S-160, ,"2"" S-160",8.74,M,P98370,鋼管,預製,,,,,D,0,0,0,0,0,0,0,0,0,0,P98370_D
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,2, ,S-160, ,"2"" S-160",8.74,M,P98370,鋼管,預製,,,,,E,0,0,0,0,0,0,0,0,0,0,P98370_E
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,2, ,S-80, ,"2"" S-80",5.54,M,P75659,鋼管,預製,54,,17.3,17.3,-,0,0,0,0,0,0,0,0,0,0,P75659_-
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,2, ,S-80, ,"2"" S-80",5.54,M,P75659,鋼管,預製,,,,,A,0,0,0,0,0,0,0,0,0,0,P75659_A
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,2, ,S-80, ,"2"" S-80",5.54,M,P75659,鋼管,預製,,,,,B,17.3,24,-12,12,0,0,0,0,0,0,P75659_B
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,2, ,S-80, ,"2"" S-80",5.54,M,P75659,鋼管,預製,,,,,D,0,0,0,0,0,0,0,0,0,0,P75659_D
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,2, ,S-80, ,"2"" S-80",5.54,M,P75659,鋼管,預製,,,,,E,0,0,0,0,0,0,0,0,0,0,P75659_E
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,1.5, ,S-160, ,"1-1/2"" S-160",7.14,M,P64172,鋼管,預製,6,,0.1,0.1,-,0,0,0,0,0,0,0,0,0,0,P64172_-
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,1.5, ,S-160, ,"1-1/2"" S-160",7.14,M,P64172,鋼管,預製,,,,,A,0,0,0,0,0,0,0,0,0,0,P64172_A
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,1.5, ,S-160, ,"1-1/2"" S-160",7.14,M,P64172,鋼管,預製,,,,,B,0,0,0,0,0,0,0,0,0,0,P64172_B
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,1.5, ,S-160, ,"1-1/2"" S-160",7.14,M,P64172,鋼管,預製,,,,,D,0.1,6,-6,0,0,0,0,0,0,0,P64172_D
